Company,System,BaseCopies,EnabledCores,EnabledChips,ThreadsPerCore,Base,Peak,BaseEnergy,PeakEnergy,CPU,SCPU,CPU0
Dell Inc.,"PowerEdge R930 (Intel Xeon E7-8890 v4, 2.20 GHz)",192,96,4,2,316.0,Not Run,0,--,"Intel Xeon E7-8890 v4, 2.20 GHz","Intel Xeon E7-8890 v4, 2.20 GHz",Intel Xeon E7-8890 v4
Fujitsu,"PRIMERGY RX2560 M2, (Intel Xeon E5-2699A v4, 2.40GHz)",88,44,2,2,149.0,Not Run,0,--,"Intel Xeon E5-2699A v4, 2.40GHz","Intel Xeon E5-2699A v4, 2.40GHz",Intel Xeon E5-2699A v4
H3C,"H3C R4900 G2 (Intel Xeon E5-2620 v4, 2.10 GHz)",32,16,2,2,76.0,77.7,0,--,"Intel Xeon E5-2620 v4, 2.10 GHz","Intel Xeon E5-2620 v4, 2.10 GHz",Intel Xeon E5-2620 v4
HPE,"Integrity Superdome X (2.20 GHz, Intel Xeon E7-8890 v4)",768,384,16,2,1160.0,1170,0,--,"2.20 GHz, Intel Xeon E7-8890 v4",Intel Xeon E7-8890 v4,Intel Xeon E7-8890 v4
HPE,"ProLiant DL360 Gen9 (2.40 GHz, Intel Xeon E5-2699A v4)",88,44,2,2,149.0,149,0,--,"2.40 GHz, Intel Xeon E5-2699A v4",Intel Xeon E5-2699A v4,Intel Xeon E5-2699A v4
HPE,"ProLiant DL380 Gen9 (2.40 GHz, Intel Xeon E5-2699A v4)",88,44,2,2,147.0,148,0,--,"2.40 GHz, Intel Xeon E5-2699A v4",Intel Xeon E5-2699A v4,Intel Xeon E5-2699A v4
Inspur Corporation,Inspur NF5280M4 (Intel Xeon E5-2698 v4),80,40,2,2,133.0,133,0,--,Intel Xeon E5-2698 v4,Intel Xeon E5-2698 v4,Intel Xeon E5-2698 v4
Intel Corporation,ASUS Z170M-PLUS Motherboard (Intel Core i7-6700K),8,4,1,2,24.6,Not Run,0,--,Intel Core i7-6700K,Intel Core i7-6700K,Intel Core i7-6700K
Oracle Corporation,Sun Fire V490(UltraSPARC IV+),1,8,4,1,1.0,Not Run,1.00,--,UltraSPARC IV+,UltraSPARC IV+,UltraSPARC IV+
Oracle Corporation,1-Chip VM (SPARC M7),224,32,1,8,111.0,118,--,--,SPARC M7,SPARC M7,SPARC M7
Supermicro,SuperServer 2028U-TR4T+ (Intel Xeon E5-2699A v4),88,44,2,2,149.0,149,--,--,Intel Xeon E5-2699A v4,Intel Xeon E5-2699A v4,Intel Xeon E5-2699A v4
Cisco Systems,"Cisco UCS C480 M5 (Intel Xeon Platinum 8180, 2.50GHz)",224,112,4,2,487.0,Not Run,--,--,"Intel Xeon Platinum 8180, 2.50GHz","Intel Xeon Platinum 8180, 2.50GHz",Intel Xeon Platinum 8180
Cisco Systems,"Cisco UCS C240 M5 (Intel Xeon Platinum 8180, 2.50GHz)",112,56,2,2,250.0,255,--,--,"Intel Xeon Platinum 8180, 2.50GHz","Intel Xeon Platinum 8180, 2.50GHz",Intel Xeon Platinum 8180
Cisco Systems,"Cisco UCS B200 M5 (Intel Xeon Platinum 8156, 3.60GHz)",16,8,2,2,71.0,73.0,--,--,"Intel Xeon Platinum 8156, 3.60GHz","Intel Xeon Platinum 8156, 3.60GHz",Intel Xeon Platinum 8156
Cisco Systems,"Cisco UCS B200 M5 (Intel Xeon Platinum 8158, 3.00GHz)",48,24,2,2,165.0,168,--,--,"Intel Xeon Platinum 8158, 3.00GHz","Intel Xeon Platinum 8158, 3.00GHz",Intel Xeon Platinum 8158
Cisco Systems,"Cisco UCS B200 M5 (Intel Xeon Platinum 8176, 2.10GHz)",112,56,2,2,225.0,230,--,--,"Intel Xeon Platinum 8176, 2.10GHz","Intel Xeon Platinum 8176, 2.10GHz",Intel Xeon Platinum 8176
Cisco Systems,"Cisco UCS B200 M5 (Intel Xeon Gold 6150, 2.70GHz)",72,36,2,2,192.0,196,--,--,"Intel Xeon Gold 6150, 2.70GHz","Intel Xeon Gold 6150, 2.70GHz",Intel Xeon Gold 6150
Cisco Systems,"Cisco UCS C480 M5 (Intel Xeon Platinum 8158, 3.00GHz)",96,48,4,2,325.0,332,--,--,"Intel Xeon Platinum 8158, 3.00GHz","Intel Xeon Platinum 8158, 3.00GHz",Intel Xeon Platinum 8158
Cisco Systems,"Cisco UCS B200 M5 (Intel Xeon Gold 6132, 2.60GHz)",56,28,2,2,163.0,167,--,--,"Intel Xeon Gold 6132, 2.60GHz","Intel Xeon Gold 6132, 2.60GHz",Intel Xeon Gold 6132
Cisco Systems,"Cisco UCS B200 M5 (Intel Xeon Gold 5120, 2.20GHz)",56,28,2,2,141.0,144,--,--,"Intel Xeon Gold 5120, 2.20GHz","Intel Xeon Gold 5120, 2.20GHz",Intel Xeon Gold 5120
Cisco Systems,"Cisco UCS B200 M5 (Intel Xeon Gold 6146, 3.20GHz)",48,24,2,2,168.0,171,--,--,"Intel Xeon Gold 6146, 3.20GHz","Intel Xeon Gold 6146, 3.20GHz",Intel Xeon Gold 6146
Cisco Systems,"Cisco UCS C480 M5 (Intel Xeon Platinum 8170, 2.10GHz)",208,104,4,2,439.0,447,--,--,"Intel Xeon Platinum 8170, 2.10GHz","Intel Xeon Platinum 8170, 2.10GHz",Intel Xeon Platinum 8170
Cisco Systems,"Cisco UCS B200 M5 (Intel Xeon Gold 6154, 3.00GHz)",72,36,2,2,202.0,206,--,--,"Intel Xeon Gold 6154, 3.00GHz","Intel Xeon Gold 6154, 3.00GHz",Intel Xeon Gold 6154
Dell Inc.,"PowerEdge R940 (Intel Xeon Gold 6144, 3.50 GHz)",64,32,4,2,260.0,267,--,--,"Intel Xeon Gold 6144, 3.50 GHz","Intel Xeon Gold 6144, 3.50 GHz",Intel Xeon Gold 6144
Dell Inc.,"PowerEdge R440 (Intel Xeon Gold 6130, 2.10 GHz)",64,32,2,2,163.0,Not Run,--,--,"Intel Xeon Gold 6130, 2.10 GHz","Intel Xeon Gold 6130, 2.10 GHz",Intel Xeon Gold 6130
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8176, 2.10 GHz)",224,112,4,2,448.0,456,--,--,"Intel Xeon Platinum 8176, 2.10 GHz","Intel Xeon Platinum 8176, 2.10 GHz",Intel Xeon Platinum 8176
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8156, 3.60 GHz)",32,16,4,2,139.0,141,--,--,"Intel Xeon Platinum 8156, 3.60 GHz","Intel Xeon Platinum 8156, 3.60 GHz",Intel Xeon Platinum 8156
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8158, 3.00 GHz)",96,48,4,2,322.0,327,--,--,"Intel Xeon Platinum 8158, 3.00 GHz","Intel Xeon Platinum 8158, 3.00 GHz",Intel Xeon Platinum 8158
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8160, 2.10 GHz)",192,96,4,2,417.0,424,--,--,"Intel Xeon Platinum 8160, 2.10 GHz","Intel Xeon Platinum 8160, 2.10 GHz",Intel Xeon Platinum 8160
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8164, 2.00 GHz)",208,104,4,2,427.0,434,--,--,"Intel Xeon Platinum 8164, 2.00 GHz","Intel Xeon Platinum 8164, 2.00 GHz",Intel Xeon Platinum 8164
Dell Inc.,"PowerEdge R740 (Intel Xeon Platinum 8180, 2.50 GHz)",56,56,2,1,249.0,Not Run,--,--,"Intel Xeon Platinum 8180, 2.50 GHz","Intel Xeon Platinum 8180, 2.50 GHz",Intel Xeon Platinum 8180
Dell Inc.,"PowerEdge R940 (Intel Xeon Platinum 8180, 2.50 GHz)",112,112,4,1,497.0,Not Run,--,--,"Intel Xeon Platinum 8180, 2.50 GHz","Intel Xeon Platinum 8180, 2.50 GHz",Intel Xeon Platinum 8180
