,,,Base,Peak
,,,max,max
Company,EnabledChips,CPU0,,
Cisco Systems,2,Intel Xeon Gold 5120,136.0,143
Cisco Systems,2,Intel Xeon Gold 6132,162.0,171
Cisco Systems,2,Intel Xeon Gold 6146,159.0,167
Cisco Systems,2,Intel Xeon Gold 6150,201.0,213
Cisco Systems,2,Intel Xeon Gold 6154,209.0,221
Cisco Systems,2,Intel Xeon Platinum 8158,154.0,163
Cisco Systems,2,Intel Xeon Platinum 8176,255.0,272
Cisco Systems,2,Intel Xeon Platinum 8180,300.0,319
Cisco Systems,4,Intel Xeon Platinum 8158,308.0,324
Cisco Systems,4,Intel Xeon Platinum 8170,491.0,523
Cisco Systems,4,Intel Xeon Platinum 8180,573.0,Not Run
Dell Inc.,2,Intel Xeon Gold 6130,161.0,Not Run
Dell Inc.,2,Intel Xeon Platinum 8180,296.0,Not Run
Dell Inc.,4,Intel Xeon E7-8890 v4,318.0,Not Run
Dell Inc.,4,Intel Xeon Gold 6144,230.0,245
Dell Inc.,4,Intel Xeon Platinum 8153,281.0,295
Dell Inc.,4,Intel Xeon Platinum 8156,111.0,118
Dell Inc.,4,Intel Xeon Platinum 8158,306.0,318
Dell Inc.,4,Intel Xeon Platinum 8160,453.0,480
Dell Inc.,4,Intel Xeon Platinum 8164,471.0,501
Dell Inc.,4,Intel Xeon Platinum 8168,509.0,542
Dell Inc.,4,Intel Xeon Platinum 8170,481.0,514
Dell Inc.,4,Intel Xeon Platinum 8176,506.0,543
Dell Inc.,4,Intel Xeon Platinum 8180,580.0,Not Run
Fujitsu,1,Intel Xeon E3-1220 v6,20.7,Not Run
Fujitsu,1,Intel Xeon E3-1225 v6,21.7,Not Run
Fujitsu,2,Intel Xeon E5-2699A v4,164.0,Not Run
Fujitsu,2,Intel Xeon Gold 6148,210.0,Not Run
Fujitsu,2,Intel Xeon Platinum 8180,297.0,Not Run
Fujitsu,8,Intel Xeon Platinum 8180,1180.0,Not Run
H3C,2,Intel Xeon E5-2620 v4,53.5,59.4
HPE,1,Intel Xeon E3-1230 v6,26.2,Not Run
HPE,2,AMD EPYC 7601,272.0,300
HPE,2,Intel Xeon Gold 5120,135.0,143
HPE,2,Intel Xeon Gold 5122,56.6,Not Run
HPE,2,Intel Xeon Gold 6126,141.0,Not Run
HPE,2,Intel Xeon Gold 6128,83.3,Not Run
HPE,2,Intel Xeon Gold 6130,162.0,Not Run
HPE,2,Intel Xeon Gold 6132,160.0,Not Run
HPE,2,Intel Xeon Gold 6134,108.0,Not Run
HPE,2,Intel Xeon Gold 6136,149.0,Not Run
HPE,2,Intel Xeon Gold 6138,188.0,Not Run
HPE,2,Intel Xeon Gold 6140,187.0,Not Run
HPE,2,Intel Xeon Gold 6142,179.0,Not Run
HPE,2,Intel Xeon Gold 6143,197.0,Not Run
HPE,2,Intel Xeon Gold 6144,116.0,Not Run
HPE,2,Intel Xeon Gold 6146,163.0,Not Run
HPE,2,Intel Xeon Gold 6148,202.0,Not Run
HPE,2,Intel Xeon Gold 6150,200.0,Not Run
HPE,2,Intel Xeon Gold 6152,210.0,Not Run
HPE,2,Intel Xeon Gold 6154,213.0,Not Run
HPE,2,Intel Xeon Platinum 8153,141.0,Not Run
HPE,2,Intel Xeon Platinum 8156,56.4,Not Run
HPE,2,Intel Xeon Platinum 8158,152.0,Not Run
HPE,2,Intel Xeon Platinum 8160,225.0,Not Run
HPE,2,Intel Xeon Platinum 8164,229.0,Not Run
HPE,2,Intel Xeon Platinum 8168,260.0,Not Run
HPE,2,Intel Xeon Platinum 8170,241.0,Not Run
HPE,2,Intel Xeon Platinum 8176,254.0,Not Run
HPE,2,Intel Xeon Platinum 8180,279.0,Not Run
HPE,2,Intel Xeon Platinum 8180M,281.0,Not Run
HPE,2,Intel Xeon Silver 4108,65.5,Not Run
HPE,2,Intel Xeon Silver 4110,72.9,Not Run
HPE,2,Intel Xeon Silver 4112,44.1,Not Run
HPE,2,Intel Xeon Silver 4114,93.6,Not Run
HPE,2,Intel Xeon Silver 4116,109.0,Not Run
HPE,4,Intel Xeon Gold 6130,299.0,317
HPE,4,Intel Xeon Platinum 8153,281.0,Not Run
HPE,4,Intel Xeon Platinum 8156,111.0,Not Run
HPE,4,Intel Xeon Platinum 8158,288.0,Not Run
HPE,4,Intel Xeon Platinum 8160,431.0,Not Run
HPE,16,Intel Xeon E7-8890 v4,1180.0,1220
Huawei,2,Intel Xeon Platinum 8180,302.0,Not Run
Inspur Corporation,2,Intel Xeon E5-2650 v4,105.0,112
Inspur Corporation,2,Intel Xeon E5-2698 v4,143.0,148
Intel Corporation,1,Intel Core i7-6700K,23.5,Not Run
Lenovo Global Technology,1,Intel Xeon Platinum 8180,141.0,149
Lenovo Global Technology,2,Intel Xeon Gold 6126T,139.0,146
Lenovo Global Technology,2,Intel Xeon Gold 6138,188.0,199
Lenovo Global Technology,2,Intel Xeon Gold 6150,201.0,211
Lenovo Global Technology,2,Intel Xeon Gold 6152,207.0,218
Lenovo Global Technology,2,Intel Xeon Platinum 8160,222.0,234
Lenovo Global Technology,2,Intel Xeon Platinum 8164,244.0,258
Lenovo Global Technology,2,Intel Xeon Platinum 8170,241.0,255
Lenovo Global Technology,2,Intel Xeon Platinum 8180,293.0,310
Lenovo Global Technology,2,Intel Xeon Silver 4110,72.7,77.5
Lenovo Global Technology,2,Intel Xeon Silver 4114,93.9,97.9
Lenovo Global Technology,4,Intel Xeon Gold 6140,385.0,408
Lenovo Global Technology,4,Intel Xeon Platinum 8168,533.0,564
Lenovo Global Technology,4,Intel Xeon Platinum 8170,498.0,527
Lenovo Global Technology,4,Intel Xeon Platinum 8170M,497.0,528
Lenovo Global Technology,4,Intel Xeon Platinum 8180,583.0,621
Lenovo Global Technology,8,Intel Xeon Platinum 8180,1160.0,1230
Oracle Corporation,1,SPARC M7,114.0,123
Oracle Corporation,4,UltraSPARC IV+,1.0,Not Run
Supermicro,2,Intel Xeon E5-2699A v4,162.0,173
