,,,Base,Peak
,,,max,max
Company,EnabledChips,CPU0,,
Cisco Systems,2,Intel Xeon Gold 5118,7.62,7.81
Cisco Systems,2,Intel Xeon Gold 5120,7.71,7.94
Cisco Systems,2,Intel Xeon Gold 6132,8.71,8.97
Cisco Systems,2,Intel Xeon Gold 6146,9.79,Not Run
Cisco Systems,2,Intel Xeon Gold 6150,8.93,9.16
Cisco Systems,2,Intel Xeon Gold 6154,8.92,9.16
Cisco Systems,2,Intel Xeon Platinum 8156,8.26,8.53
Cisco Systems,2,Intel Xeon Platinum 8158,8.87,9.15
Cisco Systems,4,Intel Xeon Gold 6140,8.87,9.14
Cisco Systems,4,Intel Xeon Gold 6146,9.88,Not Run
Cisco Systems,4,Intel Xeon Platinum 8158,8.87,9.15
Cisco Systems,4,Intel Xeon Platinum 8170,9.04,9.35
Dell Inc.,4,Intel Xeon Gold 6144,9.76,10.0
Dell Inc.,4,Intel Xeon Platinum 8153,6.98,7.19
Dell Inc.,4,Intel Xeon Platinum 8156,8.48,8.72
Dell Inc.,4,Intel Xeon Platinum 8158,8.87,9.11
Dell Inc.,4,Intel Xeon Platinum 8160,9.03,9.30
Dell Inc.,4,Intel Xeon Platinum 8164,9.09,9.34
Dell Inc.,4,Intel Xeon Platinum 8168,9.0,9.32
Dell Inc.,4,Intel Xeon Platinum 8170,9.09,9.34
Dell Inc.,4,Intel Xeon Platinum 8176,9.32,9.62
Dell Inc.,4,Intel Xeon Platinum 8180,9.33,9.59
HPE,2,Intel Xeon E5-2699 v4,5.8,6.43
HPE,2,Intel Xeon Gold 5122,8.17,Not Run
HPE,2,Intel Xeon Gold 6126,8.63,Not Run
HPE,2,Intel Xeon Gold 6128,8.32,Not Run
HPE,2,Intel Xeon Gold 6130,8.75,Not Run
HPE,2,Intel Xeon Gold 6132,8.64,Not Run
HPE,2,Intel Xeon Gold 6134,8.77,Not Run
HPE,2,Intel Xeon Gold 6136,8.8,Not Run
HPE,2,Intel Xeon Gold 6138,8.84,Not Run
HPE,2,Intel Xeon Gold 6140,8.8,Not Run
HPE,2,Intel Xeon Gold 6142,8.76,Not Run
HPE,2,Intel Xeon Gold 6143,9.31,Not Run
HPE,2,Intel Xeon Gold 6144,9.69,Not Run
HPE,2,Intel Xeon Gold 6146,9.73,Not Run
HPE,2,Intel Xeon Gold 6148,8.88,Not Run
HPE,2,Intel Xeon Gold 6150,8.8,Not Run
HPE,2,Intel Xeon Gold 6152,8.91,Not Run
HPE,2,Intel Xeon Gold 6154,8.83,Not Run
HPE,2,Intel Xeon Platinum 8153,6.9,Not Run
HPE,2,Intel Xeon Platinum 8156,8.17,Not Run
HPE,2,Intel Xeon Platinum 8158,8.78,Not Run
HPE,2,Intel Xeon Platinum 8160,8.92,Not Run
HPE,2,Intel Xeon Platinum 8164,8.98,Not Run
HPE,2,Intel Xeon Platinum 8168,8.95,Not Run
HPE,2,Intel Xeon Platinum 8170,8.96,Not Run
HPE,2,Intel Xeon Platinum 8176,9.19,Not Run
HPE,2,Intel Xeon Platinum 8180,9.2,Not Run
HPE,2,Intel Xeon Platinum 8180M,9.23,Not Run
HPE,2,Intel Xeon Silver 4108,6.87,Not Run
HPE,2,Intel Xeon Silver 4110,6.89,Not Run
HPE,2,Intel Xeon Silver 4112,6.63,Not Run
HPE,2,Intel Xeon Silver 4114,7.02,Not Run
HPE,2,Intel Xeon Silver 4116,7.08,Not Run
HPE,4,Intel Xeon E7-8890 v4,5.35,5.95
HPE,4,Intel Xeon Platinum 8153,6.89,Not Run
HPE,4,Intel Xeon Platinum 8156,8.44,Not Run
HPE,4,Intel Xeon Platinum 8158,8.75,Not Run
HPE,4,Intel Xeon Platinum 8160,8.86,Not Run
HPE,16,Intel Xeon E7-8890 v4,5.31,5.86
Huawei,2,Intel Xeon Platinum 8180,9.47,9.79
Lenovo Global Technology,1,Intel Xeon Platinum 8180,9.34,9.62
Lenovo Global Technology,2,Intel Xeon Gold 6126T,8.63,8.91
Lenovo Global Technology,2,Intel Xeon Gold 6138,8.91,9.17
Lenovo Global Technology,2,Intel Xeon Gold 6150,8.83,9.08
Lenovo Global Technology,2,Intel Xeon Gold 6152,8.89,9.18
Lenovo Global Technology,2,Intel Xeon Platinum 8160,9.0,9.29
Lenovo Global Technology,2,Intel Xeon Platinum 8164,9.02,9.31
Lenovo Global Technology,2,Intel Xeon Platinum 8170,9.06,9.32
Lenovo Global Technology,2,Intel Xeon Platinum 8180,9.31,9.56
Lenovo Global Technology,2,Intel Xeon Silver 4110,6.91,7.11
Lenovo Global Technology,2,Intel Xeon Silver 4114,7.03,7.24
Lenovo Global Technology,4,Intel Xeon Gold 6140,8.9,9.12
Lenovo Global Technology,4,Intel Xeon Platinum 8168,9.05,9.31
Lenovo Global Technology,4,Intel Xeon Platinum 8170,9.1,9.38
Lenovo Global Technology,4,Intel Xeon Platinum 8170M,9.06,9.34
Lenovo Global Technology,4,Intel Xeon Platinum 8180,9.34,9.64
Lenovo Global Technology,8,Intel Xeon Platinum 8180,9.37,9.62
Oracle Corporation,4,UltraSPARC IV+,1.0,Not Run
