Company,System,BaseCopies,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
ACTION S.A.,"ACTINA SOLAR 210 X6 (Intel Xeon E5-2680 v4, 2.40 GHz)",56,28,2,14,2,924.0,949,Intel Xeon E5-2680 v4
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2680 v4, 2.40 GHz)",56,28,2,14,2,924.0,950,Intel Xeon E5-2680 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2620 v4, 2.10 GHz)",32,16,2,8,2,570.0,582,Intel Xeon E5-2620 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2630 v4, 2.20 GHz)",40,20,2,10,2,668.0,683,Intel Xeon E5-2630 v4
Acer Incorporated,Altos R460 F3 (Intel Xeon E5-2690 v4),56,28,2,14,2,928.0,953,Intel Xeon E5-2690 v4
Acer Incorporated,Altos R360 F3 (Intel Xeon E5-2690 v4),56,28,2,14,2,926.0,951,Intel Xeon E5-2690 v4
Acer Incorporated,Altos R360 F3 (Intel Xeon E5-2680 v4),56,28,2,14,2,883.0,907,Intel Xeon E5-2680 v4
Acer Incorporated,Altos R380 F3 (Intel Xeon E5-2680 v4),56,28,2,14,2,883.0,907,Intel Xeon E5-2680 v4
Acer Incorporated,AW2000h-AW370h F3 (Intel Xeon E5-2680 v4),56,28,2,14,2,891.0,917,Intel Xeon E5-2680 v4
Acer Incorporated,AR580 F3 (Intel Xeon E7-8870 v4),160,80,4,20,2,2100.0,2150,Intel Xeon E7-8870 v4
Acer Incorporated,AR780 F3 (Intel Xeon E7-8870 v4),160,80,4,20,2,2090.0,2140,Intel Xeon E7-8870 v4
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2637 v4 3.50 GHz),16,8,2,4,2,432.0,438,Intel Xeon E5-2637 v4 3.50 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2623 v4  2.60 GHz),16,8,2,4,2,351.0,357,Intel Xeon E5-2623 v4  2.60 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2630L v4  1.80 GHz),40,20,2,10,2,596.0,608,Intel Xeon E5-2630L v4  1.80 GHz
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2667 v4 3.20 GHz),32,16,2,8,2,721.0,736,Intel Xeon E5-2667 v4 3.20 GHz
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2699A v4 2.40 GHz),88,44,2,22,2,1110.0,1140,Intel Xeon E5-2699A v4 2.40 GHz
Cisco Systems,"Cisco UCS B420 M4 (Intel Xeon E5-4655 v4, 2.50 GHz)",64,32,4,8,2,1270.0,1300,Intel Xeon E5-4655 v4
Cisco Systems,"Cisco UCS B420 M4 (Intel Xeon E5-4620 v4, 2.10 GHz)",80,40,4,10,2,1290.0,1320,Intel Xeon E5-4620 v4
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2699A v4 2.40 GHz),88,44,2,22,2,1110.0,1140,Intel Xeon E5-2699A v4 2.40 GHz
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4627 v4 2.60 GHz),40,40,4,10,1,1500.0,1530,Intel Xeon E5-4627 v4 2.60 GHz
Dell Inc.,"PowerEdge R930 (Intel Xeon E7-8894 v4, 2.40 GHz)",192,96,4,24,2,2440.0,Not Run,Intel Xeon E7-8894 v4
