CPU
AMD EPYC 7351
AMD EPYC 7451
AMD EPYC 7551
AMD EPYC 7601
Intel Celeron G3930
Intel Core i3-6100
Intel Core i3-7300
Intel Pentium G4560
Intel Xeon E3-1220 v5
Intel Xeon E3-1220 v6
Intel Xeon E3-1225 v6
Intel Xeon E3-1230 v5
Intel Xeon E3-1230 v6
Intel Xeon E3-1240 v5
Intel Xeon E3-1240 v6
Intel Xeon E3-1240L v5
Intel Xeon E3-1245 v6
Intel Xeon E3-1260L v5
Intel Xeon E3-1270 v5
Intel Xeon E3-1270 v6
Intel Xeon E3-1275 v6
Intel Xeon E3-1280 v5
Intel Xeon E3-1280 v6
Intel Xeon E5-2603 v4
Intel Xeon E5-2609 v4
Intel Xeon E5-2620 v4
Intel Xeon E5-2623 v4
Intel Xeon E5-2630 v4
Intel Xeon E5-2630L v4
Intel Xeon E5-2637 v4
Intel Xeon E5-2640 v4
Intel Xeon E5-2650 v4
Intel Xeon E5-2660 v3
Intel Xeon E5-2660 v4
Intel Xeon E5-2667 v4
Intel Xeon E5-2680 v4
Intel Xeon E5-2683 v4
Intel Xeon E5-2687W v4
Intel Xeon E5-2690 v3
Intel Xeon E5-2690 v4
Intel Xeon E5-2695 v4
Intel Xeon E5-2697 v4
Intel Xeon E5-2697A v4
Intel Xeon E5-2698 v4
Intel Xeon E5-2699 v3
Intel Xeon E5-2699 v4
Intel Xeon E5-2699A v4
Intel Xeon E5-2699R v4
Intel Xeon E5-4620 v4
Intel Xeon E5-4627 v4
Intel Xeon E5-4640 v4
Intel Xeon E5-4655 v4
Intel Xeon E5-4660 v4
Intel Xeon E5-4667 v4
Intel Xeon E5-4669 v4
Intel Xeon E7-4809 v3
Intel Xeon E7-4809 v4
Intel Xeon E7-4820 v3
Intel Xeon E7-4820 v4
Intel Xeon E7-4830 v3
Intel Xeon E7-4830 v4
Intel Xeon E7-4850 v3
Intel Xeon E7-4850 v4
Intel Xeon E7-8855 v4
Intel Xeon E7-8860 v3
Intel Xeon E7-8860 v4
Intel Xeon E7-8867 v3
Intel Xeon E7-8867 v4
Intel Xeon E7-8870 v4
Intel Xeon E7-8880 v4
Intel Xeon E7-8890 v4
Intel Xeon E7-8891 v3
Intel Xeon E7-8891 v4
Intel Xeon E7-8893 v4
Intel Xeon E7-8894 v4
Intel Xeon Bronze 3104
Intel Xeon Bronze 3106
Intel Xeon Gold 5115
Intel Xeon Gold 5118
Intel Xeon Gold 5119T
Intel Xeon Gold 5120
Intel Xeon Gold 5120T
Intel Xeon Gold 5122
Intel Xeon Gold 6126
Intel Xeon Gold 6126F
Intel Xeon Gold 6126T
Intel Xeon Gold 6128
Intel Xeon Gold 6130
Intel Xeon Gold 6130T
Intel Xeon Gold 6132
Intel Xeon Gold 6134
Intel Xeon Gold 6134M
Intel Xeon Gold 6136
Intel Xeon Gold 6138
Intel Xeon Gold 6138F
Intel Xeon Gold 6138T
Intel Xeon Gold 6140
Intel Xeon Gold 6140M
Intel Xeon Gold 6142
Intel Xeon Gold 6142M
Intel Xeon Gold 6143
Intel Xeon Gold 6144
Intel Xeon Gold 6146
Intel Xeon Gold 6148
Intel Xeon Gold 6148F
Intel Xeon Gold 6150
Intel Xeon Gold 6152
Intel Xeon Gold 6154
Intel Xeon Platinum 8153
Intel Xeon Platinum 8156
Intel Xeon Platinum 8158
Intel Xeon Platinum 8160
Intel Xeon Platinum 8160F
Intel Xeon Platinum 8160M
Intel Xeon Platinum 8160T
Intel Xeon Platinum 8164
Intel Xeon Platinum 8168
Intel Xeon Platinum 8170
Intel Xeon Platinum 8170M
Intel Xeon Platinum 8176
Intel Xeon Platinum 8176M
Intel Xeon Platinum 8180
Intel Xeon Platinum 8180M
Intel Xeon Silver 4108
Intel Xeon Silver 4109T
Intel Xeon Silver 4110
Intel Xeon Silver 4112
Intel Xeon Silver 4114
Intel Xeon Silver 4114T
Intel Xeon Silver 4116
Intel Xeon Silver 4116T
Intel Xeon Phi 7210
Intel Xeon Phi 7210F
Intel Xeon Phi 7230
Intel Xeon Phi 7230F
Intel Xeon Phi 7250
Intel Xeon Phi 7250F
Intel Xeon Phi 7290
Intel Xeon Phi 7290F
SPARC M12-1
SPARC M12-2
SPARC M12-2S
