Company,System,AutoParallel,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2620 v4, 2.10 GHz)",Yes,16,2,8,1,96.0,100,Intel Xeon E5-2620 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2630 v4, 2.20 GHz)",Yes,20,2,10,1,101.0,105,Intel Xeon E5-2630 v4
Cisco Systems,Cisco UCS C220 M4 (Intel Xeon E5-2623 v4  2.60 GHz),Yes,8,2,4,1,90.9,94.8,Intel Xeon E5-2623 v4  2.60 GHz
Cisco Systems,"Cisco UCS C220 M4 (Intel Xeon E5-2699A v4, 2.40 GHz)",Yes,44,2,22,1,121.0,127,Intel Xeon E5-2699A v4
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2637 v4 3.50 GHz),Yes,8,2,4,1,108.0,111,Intel Xeon E5-2637 v4 3.50 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2623 v4  2.60 GHz),Yes,8,2,4,1,91.1,94.9,Intel Xeon E5-2623 v4  2.60 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2699 v4 2.20 GHz),Yes,44,2,22,1,117.0,124,Intel Xeon E5-2699 v4 2.20 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2630L v4  1.80 GHz),Yes,20,2,10,1,97.6,104,Intel Xeon E5-2630L v4  1.80 GHz
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2667 v4 3.20 GHz),Yes,16,2,8,1,123.0,127,Intel Xeon E5-2667 v4 3.20 GHz
Cisco Systems,"Cisco UCS C240 M4 (Intel Xeon E5-2699A v4, 2.40 GHz)",Yes,44,2,22,1,121.0,127,Intel Xeon E5-2699A v4
Cisco Systems,Cisco UCS C220 M4 (Intel Xeon E5-2697 v4 2.30 GHz),Yes,36,2,18,1,120.0,126,Intel Xeon E5-2697 v4 2.30 GHz
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4640 v4 2.10 GHz),Yes,48,4,12,1,105.0,109,Intel Xeon E5-4640 v4 2.10 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2699A v4 2.40 GHz),Yes,44,2,22,1,120.0,127,Intel Xeon E5-2699A v4 2.40 GHz
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4627 v4 2.60 GHz),Yes,40,4,10,1,122.0,127,Intel Xeon E5-4627 v4 2.60 GHz
