Company,System,AutoParallel,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2620 v4, 2.10 GHz)",Yes,16,2,8,1,57.2,60.4,Intel Xeon E5-2620 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2630 v4, 2.20 GHz)",Yes,20,2,10,1,60.3,63.8,Intel Xeon E5-2630 v4
Cisco Systems,Cisco UCS C220 M4 (Intel Xeon E5-2623 v4  2.60 GHz),Yes,8,2,4,1,55.7,57.7,Intel Xeon E5-2623 v4  2.60 GHz
Cisco Systems,"Cisco UCS C220 M4 (Intel Xeon E5-2699A v4, 2.40 GHz)",Yes,44,2,22,1,72.5,74.7,Intel Xeon E5-2699A v4
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2630L v4  1.80 GHz),Yes,20,2,10,1,56.2,58.9,Intel Xeon E5-2630L v4  1.80 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2623 v4  2.60 GHz),Yes,8,2,4,1,55.7,57.6,Intel Xeon E5-2623 v4  2.60 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2699 v4 2.20 GHz),Yes,44,2,22,1,72.4,74.4,Intel Xeon E5-2699 v4 2.20 GHz
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2667 v4 3.20 GHz),Yes,16,2,8,1,68.6,71.9,Intel Xeon E5-2667 v4 3.20 GHz
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2637 v4 3.50 GHz),Yes,8,2,4,1,64.9,67.7,Intel Xeon E5-2637 v4 3.50 GHz
Cisco Systems,"Cisco UCS C240 M4 (Intel Xeon E5-2699A v4, 2.40 GHz)",Yes,44,2,22,1,72.6,74.9,Intel Xeon E5-2699A v4
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4610 v4 1.80 GHz),Yes,40,4,10,1,37.9,39.4,Intel Xeon E5-4610 v4 1.80 GHz
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4640 v4 2.10 GHz),Yes,48,4,12,1,53.6,56.2,Intel Xeon E5-4640 v4 2.10 GHz
Cisco Systems,"Cisco UCS B420 M4 (Intel Xeon E5-4655 v4, 2.50 GHz)",Yes,32,4,8,1,62.1,65.0,Intel Xeon E5-4655 v4
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2699A v4 2.40 GHz),Yes,44,2,22,1,72.9,75.1,Intel Xeon E5-2699A v4 2.40 GHz
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4627 v4 2.60 GHz),Yes,40,4,10,1,62.0,65.6,Intel Xeon E5-4627 v4 2.60 GHz
Dell Inc.,"PowerEdge R630 (Intel Xeon E5-2699A v4, 2.40 GHz)",Yes,44,2,22,1,71.6,73.9,Intel Xeon E5-2699A v4
Dell Inc.,"PowerEdge R730 (Intel Xeon CPU E5-2640 v4, 2.40 GHz)",Yes,20,2,10,1,64.8,68.7,Intel Xeon CPU E5-2640 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon CPU E5-2640 v4, 2.40 GHz)",Yes,20,2,10,1,64.8,68.7,Intel Xeon CPU E5-2640 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2623 v4, 2.60 GHz)",Yes,8,2,4,2,55.9,58.5,Intel Xeon E5-2623 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2623 v4, 2.60 GHz)",Yes,8,2,4,2,55.9,58.5,Intel Xeon E5-2623 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2630 v4, 2.20 GHz)",Yes,20,2,10,1,60.2,63.7,Intel Xeon E5-2630 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2680 v4, 2.40 GHz)",Yes,28,2,14,1,65.6,68.9,Intel Xeon E5-2680 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2687W v4, 3.00 GHz)",Yes,24,2,12,1,67.5,71.4,Intel Xeon E5-2687W v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2689 v4, 3.10 GHz)",Yes,20,2,10,1,68.5,72.2,Intel Xeon E5-2689 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2697A v4, 3.10 GHz)",Yes,32,2,16,1,70.8,73.4,Intel Xeon E5-2697A v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2698 v4, 2.20 GHz)",Yes,40,2,20,1,71.0,73.5,Intel Xeon E5-2698 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2699 v4, 2.20 GHz)",Yes,44,2,22,1,71.7,73.9,Intel Xeon E5-2699 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2630 v4, 2.20 GHz)",Yes,20,2,10,1,60.2,63.7,Intel Xeon E5-2630 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2680 v4, 2.40 GHz)",Yes,28,2,14,1,65.6,68.9,Intel Xeon E5-2680 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2687W v4, 3.00 GHz)",Yes,24,2,12,1,67.5,71.4,Intel Xeon E5-2687W v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2689 v4, 3.10 GHz)",Yes,20,2,10,1,68.5,72.2,Intel Xeon E5-2689 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2697A v4, 3.10 GHz)",Yes,32,2,16,1,70.8,73.4,Intel Xeon E5-2697A v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2698 v4, 2.20 GHz)",Yes,40,2,20,1,71.0,73.5,Intel Xeon E5-2698 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2699 v4, 2.20 GHz)",Yes,44,2,22,1,71.7,73.9,Intel Xeon E5-2699 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2623 v4, 2.60 GHz)",Yes,8,2,4,1,56.2,Not Run,Intel Xeon E5-2623 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2643 v4, 3.40 GHz)",Yes,12,2,6,1,68.3,72.2,Intel Xeon E5-2643 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2609 v4, 1.70 GHz)",Yes,16,2,8,1,35.7,37.4,Intel Xeon E5-2609 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2609 v4, 1.70 GHz)",Yes,16,2,8,1,35.7,37.4,Intel Xeon E5-2609 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2637 v4, 3.50 GHz)",Yes,8,2,4,1,65.6,68.9,Intel Xeon E5-2637 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2637 v4, 3.50 GHz)",Yes,8,2,4,1,65.6,68.9,Intel Xeon E5-2637 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2695 v4, 2.10 GHz)",Yes,36,2,18,1,66.0,67.9,Intel Xeon E5-2695 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2695 v4, 2.10 GHz)",Yes,36,2,18,1,66.0,67.9,Intel Xeon E5-2695 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2643 v4, 3.40 GHz)",Yes,12,2,6,1,68.3,72.2,Intel Xeon E5-2643 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2650 v4, 2.20 GHz)",Yes,24,2,12,1,57.8,60.8,Intel Xeon E5-2650 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2683 v4, 2.10 GHz)",Yes,32,2,16,1,61.8,63.7,Intel Xeon E5-2683 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2683 v4, 2.10 GHz)",Yes,32,2,16,1,61.8,63.7,Intel Xeon E5-2683 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2650 v4, 2.20 GHz)",Yes,24,2,12,1,57.8,60.8,Intel Xeon E5-2650 v4
Fujitsu,"PRIMERGY RX2540 M2, (Intel Xeon E5-2667 v4, 3.20 GHz)",Yes,16,2,8,2,68.9,72.4,Intel Xeon E5-2667 v4
Fujitsu,"PRIMERGY RX4770 M3, (Intel Xeon E7-8891 v4, 2.80 GHz)",Yes,40,4,10,1,71.3,75.4,Intel Xeon E7-8891 v4
