Company,System,BaseCopies,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
ACTION S.A.,"ACTINA SOLAR 210 X6 (Intel Xeon E5-2680 v4, 2.40 GHz)",56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
ACTION S.A.,"ACTINA SOLAR 220 X6 (Intel Xeon E5-2680 v4, 2.40 GHz)",56,28,2,14,2,1260.0,1310,Intel Xeon E5-2680 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2620 v4, 2.10 GHz)",32,16,2,8,2,633.0,665,Intel Xeon E5-2620 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2630 v4, 2.20 GHz)",40,20,2,10,2,804.0,842,Intel Xeon E5-2630 v4
Acer Incorporated,Altos R360 F3 (Intel Xeon E5-2680 v4),56,28,2,14,2,1240.0,1280,Intel Xeon E5-2680 v4
Acer Incorporated,Altos R380 F3 (Intel Xeon E5-2680 v4),56,28,2,14,2,1240.0,1280,Intel Xeon E5-2680 v4
Acer Incorporated,AW2000h-AW370h F3 (Intel Xeon E5-2680 v4),56,28,2,14,2,1240.0,1290,Intel Xeon E5-2680 v4
Acer Incorporated,AR580 F3 (Intel Xeon E7-8870 v4),160,80,4,20,2,2960.0,3080,Intel Xeon E7-8870 v4
Acer Incorporated,AR780 F3 (Intel Xeon E7-8870 v4),160,80,4,20,2,2950.0,3070,Intel Xeon E7-8870 v4
Bull SAS,bullion S16 ( E7-8890 v4 ),768,384,16,24,2,13600.0,14100,
Cisco Systems,"Cisco UCS B420 M4 (Intel Xeon E5-4655 v4, 2.50 GHz)",64,32,4,8,2,1430.0,1500,Intel Xeon E5-4655 v4
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2623 v4  2.60 GHz),16,8,2,4,2,374.0,394,Intel Xeon E5-2623 v4  2.60 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2630L v4  1.80 GHz),40,20,2,10,2,694.0,730,Intel Xeon E5-2630L v4  1.80 GHz
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2667 v4 3.20 GHz),32,16,2,8,2,886.0,930,Intel Xeon E5-2667 v4 3.20 GHz
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2637 v4 3.50 GHz),16,8,2,4,2,473.0,497,Intel Xeon E5-2637 v4 3.50 GHz
Cisco Systems,Cisco UCS C240 M4 (Intel Xeon E5-2699A v4 2.40 GHz),88,44,2,22,2,1810.0,1870,Intel Xeon E5-2699A v4 2.40 GHz
Cisco Systems,"Cisco UCS B420 M4 (Intel Xeon E5-4620 v4, 2.10 GHz)",80,40,4,10,2,1530.0,1600,Intel Xeon E5-4620 v4
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2699 v4 2.20 GHz),88,44,2,22,2,1680.0,1740,Intel Xeon E5-2699 v4 2.20 GHz
Cisco Systems,Cisco UCS B200 M4 (Intel Xeon E5-2699A v4 2.40 GHz),88,44,2,22,2,1780.0,1840,Intel Xeon E5-2699A v4 2.40 GHz
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4627 v4 2.60 GHz),40,40,4,10,1,1700.0,1770,Intel Xeon E5-4627 v4 2.60 GHz
Dell Inc.,"PowerEdge R930 (Intel Xeon E7-8894 v4, 2.40 GHz)",192,96,4,24,2,3760.0,Not Run,Intel Xeon E7-8894 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2640 v4, 2.40 GHz)",40,20,2,10,2,850.0,891,Intel Xeon E5-2640 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2640 v4, 2.40 GHz)",40,20,2,10,2,850.0,891,Intel Xeon E5-2640 v4
Dell Inc.,PowerEdge C6320P (Intel Xeon Phi 7290 1.50 GHz),288,72,1,72,4,1140.0,1220,Intel Xeon Phi 7290 1.50 GHz
Dell Inc.,"PowerEdge M630 (Intel Xeon E5-2640 v4, 2.40 GHz)",40,20,2,10,2,856.0,Not Run,Intel Xeon E5-2640 v4
Dell Inc.,"PowerEdge R630 (Intel Xeon E5-2640 v4, 2.40 GHz)",40,20,2,10,2,860.0,Not Run,Intel Xeon E5-2640 v4
Dell Inc.,"PowerEdge T630 (Intel Xeon E5-2640 v4, 2.40 GHz)",40,20,2,10,2,865.0,Not Run,Intel Xeon E5-2640 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2690 v4, 2.60 GHz)",56,28,2,14,2,1340.0,Not Run,Intel Xeon E5-2690 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2680 v4, 2.40 GHz)",56,28,2,14,2,1260.0,Not Run,Intel Xeon E5-2680 v4
Dell Inc.,"PowerEdge R730xd (Intel Xeon E5-2690 v4, 2.60 GHz)",56,28,2,14,2,1340.0,Not Run,Intel Xeon E5-2690 v4
Dell Inc.,"PowerEdge R630 (Intel Xeon E5-2660 v4, 2.00 GHz)",56,28,2,14,2,1120.0,Not Run,Intel Xeon E5-2660 v4
Dell Inc.,"PowerEdge T630 (Intel Xeon E5-2660 v4, 2.00 GHz)",56,28,2,14,2,1110.0,Not Run,Intel Xeon E5-2660 v4
Dell Inc.,"PowerEdge M630 (Intel Xeon E5-2690 v4, 2.60 GHz)",56,28,2,14,2,1310.0,Not Run,Intel Xeon E5-2690 v4
Dell Inc.,"PowerEdge R730 (Intel Xeon E5-2680 v4, 2.40 GHz)",56,28,2,14,2,1260.0,Not Run,Intel Xeon E5-2680 v4
Fujitsu,"PRIMERGY RX4770 M3, (Intel Xeon E7-8894 v4, 2.40GHz)",191,96,4,24,2,3770.0,Not Run,Intel Xeon E7-8894 v4
Fujitsu,"PRIMEQUEST 2800E3, (Intel Xeon E7-8894 v4, 2.40GHz)",383,192,8,24,2,7380.0,Not Run,Intel Xeon E7-8894 v4
Fujitsu,"PRIMEQUEST 2800E3, (Intel Xeon E7-8894 v4, 2.40GHz)",383,192,8,24,2,7390.0,7660,Intel Xeon E7-8894 v4
Fujitsu,"PRIMEQUEST 2800E3, (Intel Xeon E7-8894 v4, 2.40GHz)",96,48,2,24,2,1860.0,1930,Intel Xeon E7-8894 v4
Fujitsu,"PRIMERGY RX4770 M3, (Intel Xeon E7-8894 v4, 2.40GHz)",191,96,4,24,2,3760.0,3910,Intel Xeon E7-8894 v4
Fujitsu,"PRIMERGY RX2540 M2, (Intel Xeon E5-2667 v4, 3.20 GHz)",32,16,2,8,2,899.0,944,Intel Xeon E5-2667 v4
Fujitsu,"PRIMERGY RX1330 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",8,4,1,4,2,271.0,280,Intel Xeon E3-1280 v6
Fujitsu,"PRIMERGY TX1320 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",8,4,1,4,2,270.0,281,Intel Xeon E3-1280 v6
Fujitsu,"PRIMERGY TX1330 M3, (Intel Xeon E3-1280 v6, 3.9GHz)",8,4,1,4,2,270.0,281,Intel Xeon E3-1280 v6
HPE,"ProLiant DL360 Gen9 (2.00 GHz, Intel Xeon E5-2660 v4)",56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
HPE,"ProLiant DL380 Gen9 (2.40 GHz, Intel Xeon E5-2680 v4)",56,28,2,14,2,1270.0,1320,Intel Xeon E5-2680 v4
HPE,"ProLiant BL660c Gen9 (2.10 GHz, Intel Xeon E5-4620 v4)",80,40,4,10,2,1560.0,1630,Intel Xeon E5-4620 v4
HPE,ProLiant BL660c Gen9 (2.10GHz Intel Xeon E5-4640 v4),96,48,4,12,2,1860.0,1950,Intel Xeon E5-4640 v4
HPE,ProLiant DL580 Gen 9 (2.20GHz Intel Xeon E7-8880 v4),176,88,4,22,2,3300.0,3420,Intel Xeon E7-8880 v4
HPE,"ProLiant XL170r Gen9 (2.10 GHz, Intel Xeon E5-2695 v4)",72,36,2,18,2,1410.0,1460,Intel Xeon E5-2695 v4
HPE,"ProLiant ML350 Gen9 (2.00 GHz, Intel Xeon E5-2660 v4)",56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
HPE,"ProLiant BL460 Gen9 (2.40 GHz, Intel Xeon E5-2640 v4)",40,20,2,10,2,860.0,898,Intel Xeon E5-2640 v4
Huawei,Huawei CH121 V3 (Intel Xeon E5-2690 v4),56,28,2,14,2,1340.0,1410,Intel Xeon E5-2690 v4
Huawei,Huawei CH222 V3 (Intel Xeon E5-2690 v4),56,28,2,14,2,1340.0,1410,Intel Xeon E5-2690 v4
Huawei,Huawei RH1288 V3 (Intel Xeon E5-2690 v4),56,28,2,14,2,1350.0,1410,Intel Xeon E5-2690 v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2690 v4),56,28,2,14,2,1340.0,1400,Intel Xeon E5-2690 v4
Huawei,Huawei RH1288 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei XH620 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei 5288 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei RH2288 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei XH628 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei XH622 V3 (Intel Xeon E5-2660 v4),56,28,2,14,2,1120.0,1170,Intel Xeon E5-2660 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-4809 v4),64,32,4,8,2,1090.0,1140,Intel Xeon E7-4809 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-4830 v4),112,56,4,14,2,1750.0,1820,Intel Xeon E7-4830 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8855 v4),112,56,4,14,2,1860.0,1930,Intel Xeon E7-8855 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8860 v4),144,72,4,18,2,2440.0,2520,Intel Xeon E7-8860 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8870 v4),160,80,4,20,2,2580.0,2670,Intel Xeon E7-8870 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8880 v4),176,88,4,22,2,2720.0,2810,Intel Xeon E7-8880 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-8890 v4),192,96,4,24,2,2840.0,2910,Intel Xeon E7-8890 v4
Huawei,Huawei RH5885 V3 (Intel Xeon E7-4820 v4),80,40,4,10,2,1260.0,1320,Intel Xeon E7-4820 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-8870 v4),160,80,4,20,2,3070.0,3200,Intel Xeon E7-8870 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-8880 v4),176,88,4,22,2,3320.0,3460,Intel Xeon E7-8880 v4
Huawei,Huawei RH5885H V3 (Intel Xeon E7-4809 v4),64,32,4,8,2,1100.0,1160,Intel Xeon E7-4809 v4
